"","Year","Month","SettlementPoint","AveragePrice"
"306",2017,10,"LZ_RAYBN",21.3799327956989
"307",2017,10,"LZ_SOUTH",28.4640188172043
"308",2017,10,"LZ_WEST",22.1733198924731
"309",2017,11,"HB_BUSAVG",22.6774583333333
"310",2017,11,"HB_HOUSTON",26.0910555555556
"311",2017,11,"HB_HUBAVG",23.1671388888889
"312",2017,11,"HB_NORTH",21.5962083333333
"313",2017,11,"HB_SOUTH",23.9771805555556
"314",2017,11,"HB_WEST",21.0017916666667
"315",2017,11,"LZ_AEN",23.0194444444444
"316",2017,11,"LZ_CPS",23.5725694444444
"317",2017,11,"LZ_HOUSTON",26.339625
"318",2017,11,"LZ_LCRA",23.047125
"319",2017,11,"LZ_NORTH",22.2631666666667
"320",2017,11,"LZ_RAYBN",21.8291805555556
"321",2017,11,"LZ_SOUTH",27.8657222222222
"322",2017,11,"LZ_WEST",22.1529166666667
"323",2017,12,"HB_BUSAVG",21.1879569892473
"324",2017,12,"HB_HOUSTON",21.5490053763441
"325",2017,12,"HB_HUBAVG",21.2098521505376
"326",2017,12,"HB_NORTH",20.952997311828
"327",2017,12,"HB_SOUTH",21.9979166666667
"328",2017,12,"HB_WEST",20.3380376344086
"329",2017,12,"LZ_AEN",21.0629301075269
"330",2017,12,"LZ_CPS",22.048373655914
"331",2017,12,"LZ_HOUSTON",21.9797849462366
"332",2017,12,"LZ_LCRA",21.1176612903226
"333",2017,12,"LZ_NORTH",21.4081317204301
"334",2017,12,"LZ_RAYBN",21.3126075268817
"335",2017,12,"LZ_SOUTH",25.4042204301075
"336",2017,12,"LZ_WEST",21.8722580645161
"337",2018,1,"HB_BUSAVG",37.8696774193548
"338",2018,1,"HB_HOUSTON",37.9447849462366
"339",2018,1,"HB_HUBAVG",37.7730376344086
"340",2018,1,"HB_NORTH",37.5859005376344
"341",2018,1,"HB_SOUTH",39.4981451612903
"342",2018,1,"HB_WEST",36.0516397849462
"343",2018,1,"LZ_AEN",38.8379838709677
"344",2018,1,"LZ_CPS",41.312876344086
"345",2018,1,"LZ_HOUSTON",38.0449865591398
"346",2018,1,"LZ_LCRA",38.9925672043011
"347",2018,1,"LZ_NORTH",37.7285215053763
"348",2018,1,"LZ_RAYBN",39.3701478494624
"349",2018,1,"LZ_SOUTH",46.1325672043011
"350",2018,1,"LZ_WEST",37.2933064516129
"351",2018,2,"HB_BUSAVG",21.8543154761905
"352",2018,2,"HB_HOUSTON",22.1641071428571
"353",2018,2,"HB_HUBAVG",21.8300595238095
"354",2018,2,"HB_NORTH",21.7670238095238
"355",2018,2,"HB_SOUTH",22.3063988095238
"356",2018,2,"HB_WEST",21.0876041666667
"357",2018,2,"LZ_AEN",21.9138839285714
"358",2018,2,"LZ_CPS",22.5173958333333
"359",2018,2,"LZ_HOUSTON",22.3758482142857
"360",2018,2,"LZ_LCRA",21.7622470238095
"361",2018,2,"LZ_NORTH",21.8404613095238
"362",2018,2,"LZ_RAYBN",22.4031696428571
"363",2018,2,"LZ_SOUTH",25.1970386904762
